Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
10821,Marketing,IBO-02 || International Marketing Management,102hrs 11min,Unit -1 || International Marketing : Basic Concepts || IBO2,https://www.youtube.com/watch?v=RZEmdLcA7uk
10822,Marketing,IBO-02 || International Marketing Management,,Unit-2 || International Marketing Orientation & Involvement,https://www.youtube.com/watch?v=QWj2-S6kG90
10823,Marketing,IBO-02 || International Marketing Management,,Unit-3 || Analysis International Marketing Environment,https://www.youtube.com/watch?v=qb42GMPWcJA
10824,Marketing,IBO-02 || International Marketing Management,,Unit-4 || International Market Segmentation,https://www.youtube.com/watch?v=CWfQBalfkVA
10825,Marketing,IBO-02 || International Marketing Management,,Unit-5 || Foreign Market selection || IBO2 || ScoreMax,https://www.youtube.com/watch?v=j48tCDQ_kEw
10826,Marketing,IBO-02 || International Marketing Management,,Unit-6 || International Marketing Entry Decisions,https://www.youtube.com/watch?v=YKxVIQLgW7U
10827,Marketing,IBO-02 || International Marketing Management,,Unit-7 || International Product planning || IBO-2 || M.com,https://www.youtube.com/watch?v=q7WGGGTticY
10828,Marketing,IBO-02 || International Marketing Management,,"Unit-8 || International Branding, Packing & Other Decisions",https://www.youtube.com/watch?v=r6VJfnwenEw
10829,Marketing,IBO-02 || International Marketing Management,,Unit-9 || International Pricing || IBO2 || IGNOU,https://www.youtube.com/watch?v=XuYnzGQJwWs
10830,Marketing,IBO-02 || International Marketing Management,,Unit - 10 || International Distribution || IBO-2 || SCOREMAX || IGNOU,https://www.youtube.com/watch?v=A1bERNj4Q2E
10831,Marketing,IBO-02 || International Marketing Management,,Unit-11 || International Marketing Communucation || IBO-2 || Scoremax+,https://www.youtube.com/watch?v=L1YG_GEU3FM
10832,Marketing,IBO-02 || International Marketing Management,,Unit-12 || International Advertising || IBO-2 || Scoremax+,https://www.youtube.com/watch?v=zvR3RNrZCsI
10833,Marketing,IBO-02 || International Marketing Management,,"Unit-13 || Personal Selling, Publicity & Sales Promotion || IBO-2 || Scoremax+",https://www.youtube.com/watch?v=tRJwZ8upcg4
10834,Marketing,IBO-02 || International Marketing Management,,"Unit-14 || International Marketing Planning, Organising & Control",https://www.youtube.com/watch?v=P4_dwP5WPIM
10835,Marketing,IBO-02 || International Marketing Management,,Unit-15 || International Marketing of Services,https://www.youtube.com/watch?v=ecjjgkgG_xY
10836,Marketing,IBO-02 || International Marketing Management,,Unit-16 || Emerging Trends & Issues In International Marketing || IBO-2 || Scoremax+,https://www.youtube.com/watch?v=o2n_d0qpbf8
10837,Marketing,IBO-02 || International Marketing Management,,Unit-17 || Introduction To International Market Research || IBO-2 || Scoremax+,https://www.youtube.com/watch?v=tQ2Nm-IbYcE
10838,Marketing,IBO-02 || International Marketing Management,,Unit-18 || Data Collection || IBO-2 || Scoremax+,https://www.youtube.com/watch?v=Umd1oRILI9Y
10839,Marketing,IBO-02 || International Marketing Management,,Unit-19 || Data Analysis & Report Writing || IBO-2 || Scoremax+,https://www.youtube.com/watch?v=-8dFPITXaIc
