Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
1943,Communication,Cross Cultural Management (Dwivedi Guidance),17hrs 19min,"Cross Cultural Management in hindi, international business, cross cultural management mba",https://www.youtube.com/watch?v=p4KpjPS9Ozs
1944,Communication,Cross Cultural Management (Dwivedi Guidance),,"Understanding Culture : Meaning and definition, importance of culture, characteristics of culture,",https://www.youtube.com/watch?v=WThCyAWWcuw
1945,Communication,Cross Cultural Management (Dwivedi Guidance),,"Cultural Difference, how do people react to cultural differences? cultural differences example",https://www.youtube.com/watch?v=jQBbcpuQoGI
1946,Communication,Cross Cultural Management (Dwivedi Guidance),,"Cultural Change, Is it possible to change a culture? if so, how? how do cultural change occurs, mba",https://www.youtube.com/watch?v=HiiG2Tn0FHE
1947,Communication,Cross Cultural Management (Dwivedi Guidance),,"Cross Cultural Communication, Verbal and Non Verbal Communication across cultures, cross culture",https://www.youtube.com/watch?v=J64sUEY6uAI
1948,Communication,Cross Cultural Management (Dwivedi Guidance),,"Classifying Communication, verbal, kinesis, haptics, proxemics, chronemics, business communication",https://www.youtube.com/watch?v=i7og-Xripf0
1949,Communication,Cross Cultural Management (Dwivedi Guidance),,"Kohlberg’s Theory of Moral Reasoning, Kohlberg’s Theory of Moral Development, Heinz dilemma,",https://www.youtube.com/watch?v=0D0oZ_paUNI
1950,Communication,Cross Cultural Management (Dwivedi Guidance),,"Hofstede’s dimensions, Hofstede’s Cultural Dimensions Theory, cross cultural management",https://www.youtube.com/watch?v=s5zdTOvuFf0
1951,Communication,Cross Cultural Management (Dwivedi Guidance),,"Cultural aspects of international business negotiations, Negotiation process, Negotiation Strategies",https://www.youtube.com/watch?v=BTIo_q6Ikzs
1952,Communication,Cross Cultural Management (Dwivedi Guidance),,"The Culture of Poverty, the culture of poverty oscar lewis summary, culture of poverty in hindi",https://www.youtube.com/watch?v=hxGiZyTq5Ww
1953,Communication,Cross Cultural Management (Dwivedi Guidance),,"National cultures vs. organizational cultures, national cultures, organisational culture, mba, bba",https://www.youtube.com/watch?v=0o7R5-klwRg
