Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
12475,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,78hrs 19min,1. Data Analysis With Python Pandas | Data Analysis WarmUp Exercises | Pandas Project,https://www.youtube.com/watch?v=JrIG6Qtb4eg
12476,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,2. Project - 1 (Case Study - 1) | Data Analysis With Python | E-Commerce Purchases Dataset,https://www.youtube.com/watch?v=yeN-PtaN4A0
12477,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,3. Project - 2 (Case Study - 2) | Data Analysis With Python Pandas | Kaggle Dataset,https://www.youtube.com/watch?v=qbW8AqEpLtU
12478,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,4. Project - 3 (Case Study - 3) Part 1 | Data Analysis With Python Pandas,https://www.youtube.com/watch?v=QlgcQ-OwQ4M
12479,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,5. Project - 3 (Case Study - 3) Part 2 | Data Analysis With Python Pandas,https://www.youtube.com/watch?v=6bNwzIm1-AY
12480,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,6. Project - 4 (Case Study - 4) Part 1 | Data Analysis With Python Pandas | Kaggle Dataset,https://www.youtube.com/watch?v=NRKqbxAvrnw
12481,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,7. Project - 4 (Case Study - 4) Part 2 | Data Analysis With Python Pandas | Kaggle Dataset,https://www.youtube.com/watch?v=ormctIQQnzw
12482,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,8. Project - 5 (Case Study - 5) | Data Analysis With Python Pandas | Kaggle Dataset | Code With Me,https://www.youtube.com/watch?v=qBOw_kcTLpU
12483,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,9. Project - 6 (Case Study - 6) | Data Analysis With Python Pandas | Kaggle Dataset,https://www.youtube.com/watch?v=D7KyR0QoKmo
12484,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,10. Project - 7 (Case Study - 7) |  Build Data Analysis Web App Using  Python & Streamlit | Part 1,https://www.youtube.com/watch?v=dqCgiEGK4es
12485,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,11. Project - 7 (Case Study - 7) |Deploy Streamlit Web App on Heroku Cloud (Step By Step) | Part 2,https://www.youtube.com/watch?v=V_G05G4CidQ
12486,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,12. Project - 8 (Case Study - 8) | Data Analysis With Python Pandas | Kaggle Dataset,https://www.youtube.com/watch?v=nrc-n98pF2w
12487,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,13. Project - 9 IMDB Movie Dataset Exercise Overview | Pandas Project,https://www.youtube.com/watch?v=s6aiRtPcdsg
12488,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,14.  Project - 9 | Data Analysis | IMDB Movie Dataset  | Python Pandas Project | Kaggle Dataset,https://www.youtube.com/watch?v=Asm2_qgBK48
12489,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,15. Project - 10  Forest Fires in Brazil | Python Pandas Project | Kaggle Dataset,https://www.youtube.com/watch?v=fsQAIk4O1Rc
12490,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,16. Heart Disease Analysis | Python Pandas Project,https://www.youtube.com/watch?v=DkdHmc1r4gk
12491,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,1. Data Analytics Using Python Pandas (EDA using Pandas),https://www.youtube.com/watch?v=rzz6zvOvzhY
12492,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,"17. Exploratory Data Analysis (EDA) : Univariate, Bivariate and Multivariate | Pandas Projects",https://www.youtube.com/watch?v=rOHXb0WNA3c
12493,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,10 Must-Know Pandas Functions For Data Analysis | Data Analytics With Pandas | Pandas Projects,https://www.youtube.com/watch?v=WGuLcrzx_Zk
12494,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,10 Must-Know Pandas String Functions For Data Analysis | Data Analysis with pandas,https://www.youtube.com/watch?v=SLNQHTxbcOI
12495,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,"End to End Data Analysis Project for Portfolio Step by Step  | With Report, PPT and Dashboard",https://www.youtube.com/watch?v=wOrVI4oeMzw
