Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
5563,Civil Engineering,Ocean - Coastal Engineering,115hrs 5min,Mod-01 Lec-01 Wave deformation - I,https://www.youtube.com/watch?v=C-JVJTwQgLI
5564,Civil Engineering,Ocean - Coastal Engineering,,Mod-01 Lec-02 Wave deformation - II,https://www.youtube.com/watch?v=4g9UoJoZi6g
5565,Civil Engineering,Ocean - Coastal Engineering,,Mod-01 Lec-03 wave deformation (problems - I),https://www.youtube.com/watch?v=3N8YoiFKv44
5566,Civil Engineering,Ocean - Coastal Engineering,,Mod-01 Lec-04 wave deformation (problems - II),https://www.youtube.com/watch?v=0BrXhDA9wpM
5567,Civil Engineering,Ocean - Coastal Engineering,,Mod-01 Lec-05 wave deformation (problems - III),https://www.youtube.com/watch?v=wvGIsYKhRAM
5568,Civil Engineering,Ocean - Coastal Engineering,,Mod-02 Lec-06 Sediment charecteristics - I,https://www.youtube.com/watch?v=Q9afEbrDZQc
5569,Civil Engineering,Ocean - Coastal Engineering,,Mod-02 Lec-07 Sediment charecteristics - II,https://www.youtube.com/watch?v=312wyhnoUH4
5570,Civil Engineering,Ocean - Coastal Engineering,,Mod-02 Lec-08 Radiation stresses - I,https://www.youtube.com/watch?v=oGd1T8CE8WM
5571,Civil Engineering,Ocean - Coastal Engineering,,Mod-02 Lec-09 Radiation stresses - II,https://www.youtube.com/watch?v=Z2rYZlEdQKQ
5572,Civil Engineering,Ocean - Coastal Engineering,,Mod-02 Lec-10 Longshore sediment transport - I,https://www.youtube.com/watch?v=kgVRlG42VNE
5573,Civil Engineering,Ocean - Coastal Engineering,,Mod-02 Lec-11 Longshore sediment transport - II,https://www.youtube.com/watch?v=Ee4lde9Qe-A
5574,Civil Engineering,Ocean - Coastal Engineering,,Mod-02 Lec-12 Longshore sediment transport (problems - I),https://www.youtube.com/watch?v=Z84LcsFqEek
5575,Civil Engineering,Ocean - Coastal Engineering,,Mod-02 Lec-13 Longshore sediment transport (problems -II),https://www.youtube.com/watch?v=UmFFWNKmGBY
5576,Civil Engineering,Ocean - Coastal Engineering,,Mod-03 Lec-14 Coastal erosion protection measures - I,https://www.youtube.com/watch?v=55ZtacWtSf0
5577,Civil Engineering,Ocean - Coastal Engineering,,Mod-03 Lec-15 Coastal erosion protection measures - II,https://www.youtube.com/watch?v=otpEvkOcGug
5578,Civil Engineering,Ocean - Coastal Engineering,,Mod-03 Lec-16 Coastal erosion protection measures - III,https://www.youtube.com/watch?v=XmDF9LeZ5Vg
5579,Civil Engineering,Ocean - Coastal Engineering,,Mod-03 Lec-17 Coastal erosion protection measures - IV,https://www.youtube.com/watch?v=ODbxbUY211g
5580,Civil Engineering,Ocean - Coastal Engineering,,Mod-03 Lec-18 Coastal erosion protection measures - V,https://www.youtube.com/watch?v=wLoRhkfWOp0
5581,Civil Engineering,Ocean - Coastal Engineering,,Mod-03 Lec-19 Coastal erosion protection measures - VI,https://www.youtube.com/watch?v=VPOiU4xRAxM
5582,Civil Engineering,Ocean - Coastal Engineering,,Mod-03 Lec-20 Coastal erosion protection measures - VII,https://www.youtube.com/watch?v=gy5VoPqB_-g
5583,Civil Engineering,Ocean - Coastal Engineering,,Mod-03 Lec-21 Coastal erosion protection measures - VIII,https://www.youtube.com/watch?v=MMRKcoFL7gY
5584,Civil Engineering,Ocean - Coastal Engineering,,Mod-03 Lec-22 Coastal erosion protection measures - IX,https://www.youtube.com/watch?v=hyahHGdyuh4
5585,Civil Engineering,Ocean - Coastal Engineering,,Mod-03 Lec-23 Coastal erosion protection measures - X,https://www.youtube.com/watch?v=RK9lQkRgtVI
5586,Civil Engineering,Ocean - Coastal Engineering,,Mod-03 Lec-24 Cheaper CEP methods - XI,https://www.youtube.com/watch?v=qXnOvyAw5tk
5587,Civil Engineering,Ocean - Coastal Engineering,,Mod-04 Lec-25 Geosynthetics - I,https://www.youtube.com/watch?v=ntmz3Kl1VDI
5588,Civil Engineering,Ocean - Coastal Engineering,,Mod-04 Lec-26 Geosynthetics - II,https://www.youtube.com/watch?v=cXblXHhLvL0
5589,Civil Engineering,Ocean - Coastal Engineering,,Mod-05 Lec-27 Breakwaters - I,https://www.youtube.com/watch?v=94ADJ3TshWQ
5590,Civil Engineering,Ocean - Coastal Engineering,,Mod-05 Lec-28 Breakwaters - II,https://www.youtube.com/watch?v=ykzzdMoKomA
5591,Civil Engineering,Ocean - Coastal Engineering,,Mod-05 Lec-29 Breakwaters - III,https://www.youtube.com/watch?v=saFpKDBGntM
5592,Civil Engineering,Ocean - Coastal Engineering,,Mod-05 Lec-30 Breakwaters - IV,https://www.youtube.com/watch?v=_fN-uvV2GAY
5593,Civil Engineering,Ocean - Coastal Engineering,,Mod-06 Lec-31 Forces on coastal structures - I,https://www.youtube.com/watch?v=nbH5-ukg-Bs
5594,Civil Engineering,Ocean - Coastal Engineering,,Mod-06 Lec-32 Forces on coastal structures - II,https://www.youtube.com/watch?v=GiUPvgrQKbI
5595,Civil Engineering,Ocean - Coastal Engineering,,Mod-07 Lec-33 Scour under marine structures,https://www.youtube.com/watch?v=d_ZwvyLE3T8
5596,Civil Engineering,Ocean - Coastal Engineering,,Mod-08 Lec-34 Physical modelling of coastal structures - I,https://www.youtube.com/watch?v=1qyPiyBwsog
5597,Civil Engineering,Ocean - Coastal Engineering,,Mod-08 Lec-35 Physical modelling of coastal structures - II,https://www.youtube.com/watch?v=ljoo2z9Psvo
5598,Civil Engineering,Ocean - Coastal Engineering,,Mod-09 Lec-36 Tsunami - I,https://www.youtube.com/watch?v=h8l8Cx4wj2M
5599,Civil Engineering,Ocean - Coastal Engineering,,Mod-09 Lec-37 Tsunami -II,https://www.youtube.com/watch?v=H0TX_o-sZVE
