Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
9215,Environmental Science,Wildlife: Conservation & Management,43hrs 0min,Values of Wildlife: Positive and Negative ll wildlife: conservation & management ll DSE-III,https://www.youtube.com/watch?v=Qv0kQQT1UDY
9216,Environmental Science,Wildlife: Conservation & Management,,Values of Wildlife: Negative values of wildlife ll Wildlife conservation and management@SS ZOOLOGY,https://www.youtube.com/watch?v=MPxI6dWP9EE
9217,Environmental Science,Wildlife: Conservation & Management,,Conservation Ethics of Wildlife ll ethics of conservation ll wildlife: conservation & management,https://www.youtube.com/watch?v=RfqqyzYp0o4
9218,Environmental Science,Wildlife: Conservation & Management,,Conservation & protection laws of wildlife ll conservation ll conservation of wildlife ll protection,https://www.youtube.com/watch?v=XrY2hkwGvrs
9219,Environmental Science,Wildlife: Conservation & Management,,Importance of conservation of wildlife ll wildlife conservation and management ll conservation,https://www.youtube.com/watch?v=QJYvpbmsWMs
9220,Environmental Science,Wildlife: Conservation & Management,,Causes of depletion of wildlife ll wildlife depletion ll causes of depletion in wildlife ll DSE-III,https://www.youtube.com/watch?v=RXGnozlaqyw
9221,Environmental Science,Wildlife: Conservation & Management,,Habitat Analysis: Physical and biological parameters ll Wildlife ll physical & biological parameters,https://www.youtube.com/watch?v=9gLze7Sn3I0
9222,Environmental Science,Wildlife: Conservation & Management,,Remote Sensing ll standard evaluation procedures: remote sensing and GIS ll wildlife:  conservation,https://www.youtube.com/watch?v=6Sjt9zODf3U
9223,Environmental Science,Wildlife: Conservation & Management,,Geographic Information System (GIS) in Hindi: geographical information systems l introduction to GIS,https://www.youtube.com/watch?v=i3OicMWi1PQ
9224,Environmental Science,Wildlife: Conservation & Management,,"Wildlife Protection Act, 1972 ll national park ll wildlife sanctuary ll tiger reserve @SSZOOLOGY",https://www.youtube.com/watch?v=BJiRo2CfW_Y
9225,Environmental Science,Wildlife: Conservation & Management,,Expected questions for semester exam 2023 ll DSE-III: wildlife conservation and management- sureshot,https://www.youtube.com/watch?v=GeGeN2IbhVs
9226,Environmental Science,Wildlife: Conservation & Management,,"Care of Injured and diseased animal, wildlife:conservation and management, injured & diseased animal",https://www.youtube.com/watch?v=suvurwAZV5Q
9227,Environmental Science,Wildlife: Conservation & Management,,Protected Areas ll National Park ll Wildlife Sanctuary ll Community Reserve ll Tiger Reserve,https://www.youtube.com/watch?v=Br7mGMSZ_ho
9228,Environmental Science,Wildlife: Conservation & Management,,Grazing and Logging ll DSE-III Wildlife ll Habitat management ll logging ll grazing ll bsc. zoology,https://www.youtube.com/watch?v=XAw0bscEJ1g
9229,Environmental Science,Wildlife: Conservation & Management,,Selection Questions ll DSE-III : Wildlife : Conservation and Management ll expected questions 2024,https://www.youtube.com/watch?v=jgiKwcul6I0
9230,Environmental Science,Wildlife: Conservation & Management,,Selection questions for wildlife 2024 ll expected questions ll important questions 2024 ll DSE-III,https://www.youtube.com/watch?v=swpNgshk0gw
9231,Environmental Science,Wildlife: Conservation & Management,,Expected Short Notes for wildlife l sure shot questions 2024 l important short questions for DSE-III,https://www.youtube.com/watch?v=2QQg3xc2WCo
