Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
11899,Psychology,Industrial Organizational Psychology,41hrs 7min,Introduction To IO - Industrial Psychology Lesson # 1,https://www.youtube.com/watch?v=rIPaK5ObMpM
11900,Psychology,Industrial Organizational Psychology,,"Workforce Planning, Job Analysis And Job Design - Industrial Psychology Lesson # 2",https://www.youtube.com/watch?v=nX1gDP4_WmM
11901,Psychology,Industrial Organizational Psychology,,Recruitment And Interview - Industrial Psychology Lesson # 3,https://www.youtube.com/watch?v=qGn3BzZnpy8
11902,Psychology,Industrial Organizational Psychology,,Selection (Pt. 1): References and Letters of Recommendation - Industrial Psychology Lesson # 4,https://www.youtube.com/watch?v=TX2MnnToLYA
11903,Psychology,Industrial Organizational Psychology,,Selection (Pt. 2): Testing and Assessment in the HR Setting - Industrial Psychology Lesson # 5,https://www.youtube.com/watch?v=ZnFG-v7lqdg
11904,Psychology,Industrial Organizational Psychology,,Performance Appraisal - Industrial Psychology Lesson # 6,https://www.youtube.com/watch?v=j4mAZUmob_o
11905,Psychology,Industrial Organizational Psychology,,Designing And Evaluating Training Systems - Industrial Psychology Lesson # 7,https://www.youtube.com/watch?v=6lR01kYHClc
11906,Psychology,Industrial Organizational Psychology,,Theories of Motivation - Industrial Psychology Lesson # 8,https://www.youtube.com/watch?v=3YBhaKR0FIM
11907,Psychology,Industrial Organizational Psychology,,Employee Satisfaction and Commitment - Industrial Psychology Lesson # 9,https://www.youtube.com/watch?v=vuqAsWoC2uc
11908,Psychology,Industrial Organizational Psychology,,Leadership: Theories and Research - Industrial Psychology Lesson # 10,https://www.youtube.com/watch?v=3AvgDho-mbE
11909,Psychology,Industrial Organizational Psychology,,Organizational Development (Pt. 1): Organizational Change - Industrial Psychology Lesson 11,https://www.youtube.com/watch?v=-qi2RP12b1s
11910,Psychology,Industrial Organizational Psychology,,Organizational Development (Pt. 2): Empowerment & Work Schedules - Industrial Psychology Lesson # 12,https://www.youtube.com/watch?v=C84WNAjWxFI
