Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
12259,Music,Conducting Playlist,10hrs 14min,Alondra de la Parra conducts PROKOFIEV Classical Symphony IV movement,https://www.youtube.com/watch?v=6JXmpU35n14
12260,Music,Conducting Playlist,,Gustavo Dudamel & Simon Bolivar Symphony Orchestra – Bernstein: West Side Story: Mambo,https://www.youtube.com/watch?v=NYvEvP2cmdk
12261,Music,Conducting Playlist,,In rehearsal: Simon Rattle conducts 6 Berlin school orchestras,https://www.youtube.com/watch?v=dP4kXJ92Qh4
12262,Music,Conducting Playlist,,Marin Alsop reveals 10 things in a conductor’s brain during a symphony concert,https://www.youtube.com/watch?v=598yoOf3M3g
12263,Music,Conducting Playlist,,"Dvorák: Symphony No. 9, PSO, Marin Alsop",https://www.youtube.com/watch?v=mFRwTpRL3R4
12264,Music,Conducting Playlist,,Beethoven Symphony No. 5 / Xian Zhang & Seattle Symphony,https://www.youtube.com/watch?v=0KcWMMoAWFo
12265,Music,Conducting Playlist,,Candide Overture: Leonard Bernstein conducting,https://www.youtube.com/watch?v=422-yb8TXj8
12266,Music,Conducting Playlist,,O Magnum Mysterium - University of Utah Singers,https://www.youtube.com/watch?v=GqCtbR8PktU
12267,Music,Conducting Playlist,,O Magnum Mysterium,https://www.youtube.com/watch?v=H4DRFma8EEk
12268,Music,Conducting Playlist,,March from Carmen (George Bizet) performed by Trinity Symphony Orchestra,https://www.youtube.com/watch?v=kh5ZN_BbU4A
