Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
13865,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,199hrs 11min,"Artists, what is your value? Jan Verwoert on Seduction Value and Metabolism",https://www.youtube.com/watch?v=n15_Lr4gEko
13866,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,Key-note: Jan Verwoert / On artistic agency,https://www.youtube.com/watch?v=fGccx5BNoXU
13867,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,"LECTURE: Jan Verwoert - November 9, 2017",https://www.youtube.com/watch?v=VlyLQFcoFP0
13868,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,Platform:  Jan Verwoert on Hanne Borchgrevink,https://www.youtube.com/watch?v=C0l21RJo2Zc
13869,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,4_23_13 Jan Verwoert,https://www.youtube.com/watch?v=6EgrzcWTKN0
13870,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,HRS Lecture: Jan Verwoert,https://www.youtube.com/watch?v=gWjQaD9DGDo
13871,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,On Crisis (emergency and new heroism) - lecture by Jan Verwoert - 19/11/2005,https://www.youtube.com/watch?v=UeBriQzdxzU
13872,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,"Eva Löfdahl + Jan Verwoert I Artist Talk I Galerie Nordenhake Berlin I June 2, 2018",https://www.youtube.com/watch?v=5ig0uPgCM9c
13873,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,Jan Verwoert 2013 OPC Lecture,https://www.youtube.com/watch?v=OELy50WgTIc
13874,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,Speaking through Masks Jan Verwoert,https://www.youtube.com/watch?v=YLXISRoMox4
13875,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,"SI IHME Special #3: Jan Verwoert, Stephen Paul Taylor",https://www.youtube.com/watch?v=4QKxNs42V4k
13876,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,Jan Verwoert - The devils in the thing talk to the devils out there,https://www.youtube.com/watch?v=cl5Ck8U09_s
13877,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,Opening-Day Talk: Painting in the Present Tense,https://www.youtube.com/watch?v=scYj-bDEaKI
13878,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,lab:present Seminar vom 30.6.2017 mit Jan Verwoert,https://www.youtube.com/watch?v=ljakLOx-nlc
13879,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,Conversations | Premiere Artist Talk: Wolfgang Tillmans,https://www.youtube.com/watch?v=EAdK8GrXNrA
13880,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,Jan Verwoert on Kathy Acker,https://www.youtube.com/watch?v=3qlZeo3ADcw
13881,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,Conversations | Salon | Talk: Revolt of Language with Marcel Broodthaers,https://www.youtube.com/watch?v=RELvDAOUmio
13882,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,Conversations | Salon | Talk | Art & Parallel Economies,https://www.youtube.com/watch?v=zI-ZghD8rjw
13883,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,Frozen Moments / Tbilisi / Melinda Braathen & Jan Verwoert,https://www.youtube.com/watch?v=PFG6dhGtXIE
13884,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,Speaking through Masks,https://www.youtube.com/watch?v=T8c2_sK7x4w
13885,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,The Legacy of Bas Jan Ader,https://www.youtube.com/watch?v=W0mpVdt5aa0
13886,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,Facing Value. Radical perspectives from the arts,https://www.youtube.com/watch?v=zE10RgiclEQ
13887,Fine Arts,Jan Verwoert (Art Critic) - Playlist of lectures,,Jan Verwoert -- Graduate Studies Lecture Series,https://www.youtube.com/watch?v=prpDpSiCzU0
