Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
225,Economics,Development Economics,21hrs 16min,Economic Growth and Economic Development | Development Economics | 1|,https://www.youtube.com/watch?v=Mfo5XeaOwbA
226,Economics,Development Economics,,Six Characteristics of Modern Economic Growth | Simon Kuznets | Development Economics | 2 |,https://www.youtube.com/watch?v=leGPyafMLvU
227,Economics,Development Economics,,Developed countries and developing countries | Issues in comparison of incomes | Debraj Ray | 3 |,https://www.youtube.com/watch?v=5BeaTLsFVoM
228,Economics,Development Economics,,Features of World Income Distribution 1960-85 | Debraj Ray | Development Economics | 4|,https://www.youtube.com/watch?v=gmCaextk0RY
229,Economics,Development Economics,,Characterestics of LDCs | Least Developed Countries | Development Economics | 5 |,https://www.youtube.com/watch?v=HOtitFzTy6A
230,Economics,Development Economics,,Are LDCs homogenous set of countries | Development Economics | 6 |,https://www.youtube.com/watch?v=FmmlFc63j5Q
231,Economics,Development Economics,,Human Development Index | Structural characteristics of Developing countries | Debraj Ray Ch 2 | 7 |,https://www.youtube.com/watch?v=qFW7NDs6p8E
232,Economics,Development Economics,,Modern Economic Growth | Debraj Ray | Development Economics | 8 |,https://www.youtube.com/watch?v=rJi26tDf7Lo
233,Economics,Development Economics,,Harrod Domar Model | Part 1 | Debraj Ray | Development Economics | 9 |,https://www.youtube.com/watch?v=QEzvpKkebr0
234,Economics,Development Economics,,Harrod Domar Equation | Derivation | Part 2 | Debraj Ray | Development Economics | 10 |,https://www.youtube.com/watch?v=8jOezyZCHTI
235,Economics,Development Economics,,Harrod Domar Equation with Population Growth | Harrod Domar Model | Development Economics | 11 |,https://www.youtube.com/watch?v=EuiEBJcFEjk
236,Economics,Development Economics,,"Harrod Domar Model | Endogeneity of Savings Rate | Development Economics | Debraj Ray , Ch 3 | 12 |",https://www.youtube.com/watch?v=mBjiE2H9ndI
237,Economics,Development Economics,,"Harrod Domar Model | Endogeneity of Population | Development Economics | Debraj Ray , Ch 3 | 12 |",https://www.youtube.com/watch?v=kM6r9qHTxLg
238,Economics,Development Economics,,Solow Model | Intensive form Production function | Development Economics | Debraj Ray Ch 3 | 14 |,https://www.youtube.com/watch?v=2ZOoJt5lpcE
239,Economics,Development Economics,,"Solow Model | Production function and Solow Diagram | Development Economics | Debraj Ray,Ch 3 | 15 |",https://www.youtube.com/watch?v=zvvU_eCK4yw
240,Economics,Development Economics,,Solow Model | Part 3 | Steady State in Solow Model | Development Economics | Debraj Ray Ch 3 | 16 |,https://www.youtube.com/watch?v=HnVyfmyDoCk
241,Economics,Development Economics,,"Solow Model | Growth Effects and Level Effects | Development Economics | Debraj Ray, Ch3 | 17 |",https://www.youtube.com/watch?v=4gakg5-Pq4s
242,Economics,Development Economics,,Solow Model | Unconditional Convergence | Development Economics | Debraj Ray Ch 3 | 18 |,https://www.youtube.com/watch?v=nriiLpkErKM
243,Economics,Development Economics,,Conditional Convergence Hypothesis in Solow Model | 19 |,https://www.youtube.com/watch?v=HxI-KB8L4z8
244,Economics,Development Economics,,Endogenous Growth Theory | New Growth Theories | Introduction | Development Economics | 20 |,https://www.youtube.com/watch?v=pAvI_MV6ooE
245,Economics,Development Economics,,New Growth Theories | Endogenous Growth | Human Capital and Economic Growth | Lucas Model | 21 |,https://www.youtube.com/watch?v=ZkxurLcpqzY
246,Economics,Development Economics,,New Growth Theories | Endogenous Growth and Lucas Model | Part 3 | Development Economics | | 22 |,https://www.youtube.com/watch?v=6qoRGVdUUVc
247,Economics,Development Economics,,New Growth Theories | Model of Deliberate Technical Progress | Endogenous Growth Models | 23 |,https://www.youtube.com/watch?v=wHB_vPa6lL8
248,Economics,Development Economics,,"New Growth Theories | Endogenous Growth Model | Externalities, Productivity and Growth | 24 |",https://www.youtube.com/watch?v=PcOrTq0sLoo
249,Economics,Development Economics,,"The Four criterion of Inequality Measurement | Anonymity, Relative Income, Population, and Dalton |",https://www.youtube.com/watch?v=BreIKDFndY8
250,Economics,Development Economics,,Lorenz Curve | Interpretation | Lorenz Criterion | Can Lorenz curves cross | 26 |,https://www.youtube.com/watch?v=Z43Se31K3D4
251,Economics,Development Economics,,Measures of Inequality | Gini Coefficient | Debraj Ray Ch 6 | 28 |,https://www.youtube.com/watch?v=WhlJbZ8vsy0
252,Economics,Development Economics,,Measures of Inequality | Range | Kuznets Ratio | Mean Absolute Deviation | Coefficient of Variation|,https://www.youtube.com/watch?v=IcOxQXGK_O0
253,Economics,Development Economics,,"Poverty Line | Absolute Poverty, Relative Poverty, Temporary Poverty, Chronic Poverty | Debraj Ray|",https://www.youtube.com/watch?v=EE-1k2-9gkA
254,Economics,Development Economics,,"Poverty Measures | Head Count Ratio | Poverty Gap Ratio | Income Gap Ratio | Debraj Ray, ch 8 |",https://www.youtube.com/watch?v=rYNKe76JnXM
255,Economics,Development Economics,,"Issues in Poverty | Demographic Features | Assets | Nutrition | Debraj Ray, Chapter 8 | 31 |",https://www.youtube.com/watch?v=U7_rRcXp1QU
256,Economics,Development Economics,,Capability Approach | Part 1 | Poverty as Capability Deprivation | Amartya Sen | 32 |,https://www.youtube.com/watch?v=IbeavPeLhSo
257,Economics,Development Economics,,Capability Approach | Part 2 | Poverty as a Capability Deprivation | Development Economics | 33 |,https://www.youtube.com/watch?v=b5d9JWbrzs0
